Branchwise Mix,AI,CB,CE,CH,CS,CT,EC,MC,MM,MT,Total
G1,7,7,7,7,7,7,7,7,7,6,69
G2,7,7,7,7,7,7,7,7,6,7,69
G3,7,7,7,7,7,7,7,6,7,7,69
G4,7,7,7,7,7,7,6,7,7,7,69
G5,7,7,7,7,7,6,7,7,7,7,69
G6,7,7,7,7,6,7,7,7,7,7,69
G7,3,7,7,7,8,8,8,7,7,7,69
G8,0,1,7,9,9,9,5,10,10,9,69
G9,0,0,0,13,13,6,0,12,12,13,69
G10,0,0,0,13,24,0,0,5,12,8,62

Uniform Mix,AI,CB,CE,CH,CS,CT,EC,MC,MM,MT,Total
G1,0,0,0,0,69,0,0,0,0,0,69
G2,0,0,0,69,0,0,0,0,0,0,69
G3,0,0,0,0,0,0,0,0,69,0,69
G4,0,0,0,0,0,0,0,0,0,69,69
G5,0,0,0,0,0,0,0,69,0,0,69
G6,0,0,5,0,0,64,0,0,0,0,69
G7,0,0,15,0,0,0,54,0,0,0,69
G8,19,50,0,0,0,0,0,0,0,0,69
G9,26,0,36,0,7,0,0,0,0,0,69
G10,0,0,0,15,19,0,0,6,13,9,62
